id,image,name,category_id,bra HP nd_id,description,barcode,sku,active,company_id,created_by,updated_by,created_at,updated_at,is_service,has_tax,price
1,,impressora - HP OfficeJet 7720 Wide Format,3,1,,1,,1,8,13,1,44377.51451,44377.51451,0,0,NULL
2,,impressora - HP OfficeJet 7740 Wide Format,3,1,,2,,1,8,13,1,44377.51677,44377.51677,0,0,NULL
3,,impressora - HP InkTank 415 Wireless,3,,,,,,,,,,,,,
4,,impressora - HP OfficeJet 8013,3,,,,,,,,,,,,,
5,,impressora - HP LaserJet  MFP 137nw,3,,,,,,,,,,,,,
6,,impressora - HP LaserJet  M404dw,3,,,,,,,,,,,,,
7,,impressora - HP LaserJet  M404dn,3,,,,,,,,,,,,,
8,,Scanner - HP ScanJet Pro 4500 fn1,3,,,,,,,,,,,,,
9,,impressora - HP LaserJet 107w,3,,,,,,,,,,,,,
10,,impressora - HP LaserJet  MFP 236sdn,3,,,,,,,,,,,,,
11,,impressora - HP Neverstop LaserJet 1000w,3,,,,,,,,,,,,,
12,,impressora - HP DeskJet Plus 4122,3,,,,,,,,,,,,,
13,,impressora - HP LaserJet Enterprise M406dn,3,,,,,,,,,,,,,
14,,impressora - HP LaserJet  MFP 479fdn,3,,,,,,,,,,,,,
15,,impressora - HP DeskJet 2320,3,,,,,,,,,,,,,
16,,impressora - Canon PIXMA MG2540S,3,,,,,,,,,,,,,
17,,impressora - Canon PIXMA TS3440,3,,,,,,,,,,,,,
18,,impressora - Canon PIXMA TS3440,3,,,,,,,,,,,,,
19,,impressora - Canon MAXIFY MB2140,3,,,,,,,,,,,,,
20,,impressora - Multifuncional Epson EcoTank L3150,3,,,,,,,,,,,,,
21,,"Laptop HP 14-scf3063TU, Intel Core i##, 500GB HDD, 4GB RAM, HDMI, Bluetooth, Wi-Fi, W10H",2,,,,,,,,,,,,,
22,,"Laptop HP 250 G7, Intel Core i##, 500HDD, 4GB RAM, HDMI, Bluetooth, Wi-Fi, W10H",2,,,,,,,,,,,,,
23,,"Laptop HP 250 G7, Intel Core i##, 500HDD, 4GB RAM, HDMI, Bluetooth, Wi-Fi, W10H",2,,,,,,,,,,,,,
24,,"Laptop Lenovo ThinkPad 14 Gen 2, Intel Core i##, 500HDD, 4GB RAM, HDMI, Bluetooth, Wi-Fi, W10H",2,,,,,,,,,,,,,
25,,Desktop HP,2,,,,,,,,,,,,,
26,,"Monitor HP M27f de 27"" FHD (1920x1080) 60hz, VGA, HDMI",6,,,,,,,,,,,,,
27,,"Monitor HP V241 IB de 24"" FHD (1920x1080) 60hz",6,,,,,,,,,,,,,
28,,Roteador WiFi Portátil 4G LTE,8,,,,M7350,,,,,,,,,
29,,Mini Adaptador USB Wi-Fi N 300Mbps,8,,,,TL-WN823N,,,,,,,,,
30,,Placa de Wi-Fi PCI Express N 300Mbps,8,,,,TL-WN881ND,,,,,,,,,
31,,Placa de Rede PCI Express Gigabit,8,,,,TG-3468,,,,,,,,,
32,,Repetidor de Sinal Wi-Fi N 300Mbps,8,,,,TL-WA850RE,,,,,,,,,
33,,Switch TP-Link de 8 Portas para Desktop 10/100Mbps,8,,,,TL-SF 1008D,,,,,,,,,
34,,Roteador Wi-Fi N 300Mbps,8,,,,TL-WR840N,,,,,,,,,
35,,"Roteador Wi-Fi Dual Band AC750, 433Mbps + 300Mbps ",8,,,,C20i,,,,,,,,,
36,,Switch de 4 Portas PoE para Desktop 10/100Mbps,8,,,,TL-SF1008P,,,,,,,,,
37,,Roteador Wi-Fi 3G/4G N 300Mbps,8,,,,TL-MR3420,,,,,,,,,
38,,Roteador Wi-Fi 4G 300Mbps,8,,,,TL-MR6400,,,,,,,,,
39,,Dupla Estação de Video USB 3.0 com Alimentador,8,,,,ACP71EUZA,,,,,,,,,
40,,Ponto de Acesso D-Link Wi-Fi N 150 Bridge,8,,,,DAP1155,,,,,,,,,
41,,Switch D-Link de 24 Portas 10/100Mbps,8,,,,DES-1024A Preto,,,,,,,,,
42,,Speakers USB 2.0 para Telemóvel e Desktop,2,,,,,,,,,,,,,
43,,Mouse Cartucho de Toner HP Com Fio Optical Sensor Inside,2,,,,,,,,,,,,,
44,,Mouse HP Wi-FI 2.4G Optical,2,,,,,,,,,,,,,
45,,Mouse Logitech M257 Wi-Fi,2,,,,,,,,,,,,,
46,,Mouse HP M10 com Fio USB,2,,,,,,,,,,,,,
47,,Mouse HP S1000 Wi-Fi Plus USB,2,,,,,,,,,,,,,
48,,Disco Externo Expansion de 4TB ,2,,,,STBV4000100,,,,,,,,,
49,,Disco Externo Expansion de 1TB ,2,,,,STKM1000400,,,,,,,,,
50,,Disco Externo Expansion de 500GB ,2,,,,STEA500400,,,,,,,,,
